pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CU,2023-07-27,79.6,2.49,4.88,"Logue, Zach",660271,656657,field_out,hit_into_play,,,,,8,"Shohei Ohtani grounds out, second baseman Zack Short to first baseman Spencer Torkelson.",R,L,L,DET,LAA,X,4,ground_ball,0,0,2023,-0.54,-0.1,-0.13,1.99,,,,2,9,Top,156.85,152.42,,,,,-4.6481501304447015,-115.93112753754625,0.4834850204018572,-4.149049888136826,19.064227231843425,-33.37815851759613,3.49,1.64,39,83.5,0,78.8,2263,5.4,717243,606992,679529,670097,656716,595879,668731,682985,663837,55.11,0.209,0.203,0.0,1,0,0,2,64,1,Curveball,0,6,6,0,6,0,6,0,Infield shade,Standard,244,0.0,-0.275,76.6,7.9,0.219,0.275,88.0,-6,6,0.003,0.997,27,28,27,29,2,4,22,2,,0,3.66,-0.54,-0.54,16.3
CU,2023-07-27,79.6,2.51,5.01,"Logue, Zach",650859,656657,field_out,hit_into_play,,,,,8,"Luis Rengifo grounds out, shortstop Javier Baez to first baseman Spencer Torkelson.",R,R,L,DET,LAA,X,6,ground_ball,1,2,2023,-0.35,0.05,0.08,1.54,,,,1,9,Top,116.24,149.88,,,,,-4.599854149904181,-116.11131597411736,-1.1413215717934095,-2.5297954327036276,17.206104899721943,-31.676822118721837,3.17,1.51,45,68.1,2,78.8,2306,5.2,717243,606992,679529,670097,656716,595879,668731,682985,663837,55.35,0.117,0.114,0.0,1,0,0,2,63,4,Curveball,0,6,6,0,6,0,6,0,Standard,Standard,241,0.001,-0.189,72.8,7.1,0.128,0.189,88.0,-6,6,0.002,0.998,27,26,27,26,2,4,22,2,,0,3.47,-0.35,0.35,18.2
CH,2023-07-27,84.1,2.63,4.95,"Logue, Zach",650859,656657,,foul,,,,,5,"Luis Rengifo grounds out, shortstop Javier Baez to first baseman Spencer Torkelson.",R,R,L,DET,LAA,S,,,1,1,2023,1.58,0.35,-0.16,2.08,,,,1,9,Top,,,,,,,-9.468257788902292,-122.15982181778178,-0.969300528579474,17.7109337075478,23.12476054088761,-28.6412091539818,3.17,1.51,155,87.4,66,83.1,2013,5.6,717243,606992,679529,670097,656716,595879,668731,682985,663837,54.89,,,,,,,,63,3,Changeup,0,6,6,0,6,0,6,0,Standard,Standard,105,0.0,-0.068,73.4,8.7,,0.068,88.0,-6,6,0.002,0.998,27,26,27,26,2,4,22,2,,0,2.87,1.58,-1.58,15.3
FF,2023-07-27,91.7,2.26,5.16,"Logue, Zach",650859,656657,,ball,,,,,11,"Luis Rengifo grounds out, shortstop Javier Baez to first baseman Spencer Torkelson.",R,R,L,DET,LAA,B,,,0,1,2023,0.8,1.1,-1.07,3.57,,,,1,9,Top,,,,,,,-10.020457901571175,-133.23900018424044,-0.5304161315558353,11.59661501381367,27.15810895110852,-19.17228562927194,3.25,1.52,,,,90.9,1988,5.7,717243,606992,679529,670097,656716,595879,668731,682985,663837,54.75,,,,,,,,63,2,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,124,0.0,0.03,,,,-0.03,,-6,6,0.002,0.998,27,26,27,26,2,4,22,2,,0,1.61,0.8,-0.8,23.8
FF,2023-07-27,91.3,2.29,4.98,"Logue, Zach",650859,656657,,called_strike,,,,,4,"Luis Rengifo grounds out, shortstop Javier Baez to first baseman Spencer Torkelson.",R,R,L,DET,LAA,S,,,0,0,2023,0.85,1.01,-0.32,2.33,,,,1,9,Top,,,,,,,-8.315550958390574,-132.70584173038614,-2.9481283966748775,11.84920033218255,28.24088331969154,-19.751405458851604,3.31,1.55,,,,90.3,1902,5.7,717243,606992,679529,670097,656716,595879,668731,682985,663837,54.8,,,,,,,,63,1,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,124,0.0,-0.041,,,,0.041,,-6,6,0.002,0.998,27,26,27,26,2,4,22,2,,0,1.73,0.85,-0.85,21.8
FF,2023-07-27,89.6,2.18,5.12,"Logue, Zach",623205,656657,field_out,hit_into_play,,,,,1,Andrew Velazquez pops out to first baseman Spencer Torkelson in foul territory.,R,R,L,DET,LAA,X,3,popup,0,0,2023,0.88,1.08,-0.78,2.68,,,,0,9,Top,168.52,182.94,,,,,-9.030283370393777,-130.18285371649816,-2.284308820181999,11.876352989595013,27.146746292917843,-19.65304549293813,3.21,1.46,110,70.1,71,88.4,2058,5.6,717243,606992,679529,670097,656716,595879,668731,682985,663837,54.89,0.001,0.0,0.0,1,0,0,3,62,1,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,127,0.0,-0.265,69.0,6.9,0.001,0.265,88.0,-6,6,0.002,0.998,27,28,27,29,2,3,22,2,,0,1.77,0.88,-0.88,25.5
FF,2023-07-27,90.8,2.18,5.13,"Logue, Zach",595453,656657,field_out,hit_into_play,,,,,4,"Chad Wallach grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,DET,LAA,X,5,ground_ball,1,0,2023,0.65,1.24,-0.43,2.88,,,592669,2,8,Top,97.45,166.67,,,,,-7.82978471145591,-132.10541599064825,-2.357192567853206,9.3148153840407,27.872824820315024,-17.29685689555027,3.79,1.81,13,91.9,-12,89.8,1960,5.7,717243,606992,679529,670097,656716,595879,668731,682985,663837,54.84,0.166,0.11,0.0,1,0,0,2,57,2,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,129,0.001,-0.316,74.8,7.3,0.183,0.316,91.9,-6,6,0.008,0.992,27,31,27,32,2,3,22,2,,3,1.52,0.65,-0.65,26.9
FF,2023-07-27,90.9,2.34,5.08,"Logue, Zach",595453,656657,,ball,,,,,12,"Chad Wallach grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,DET,LAA,B,,,0,0,2023,0.81,0.99,0.31,4.17,,,592669,2,8,Top,,,,,,,-6.701034657871587,-132.2361662367979,1.4842665629267322,10.90343613588704,29.24479851786672,-21.09556681051593,3.73,1.75,,,,89.5,2022,5.5,717243,606992,679529,670097,656716,595879,668731,682985,663837,54.96,,,,,,,,57,1,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,123,0.0,0.03,,,,-0.03,,-6,6,0.008,0.992,27,31,27,32,2,3,22,2,,3,1.77,0.81,-0.81,19.1
CU,2023-07-27,80.0,2.42,5.02,"Logue, Zach",663550,656657,strikeout,swinging_strike,,,,,13,Trey Cabbage strikes out swinging.,R,L,L,DET,LAA,S,2,,2,2,2023,-0.29,0.37,-1.49,1.09,,,592669,1,8,Top,,,,,,,-7.940519629609443,-116.23394213024817,-2.596053419929087,-1.0487888558335268,22.559261254639974,-28.506390441387097,3.47,1.59,,,,78.7,2224,5.5,717243,606992,679529,670097,656716,595879,668731,682985,663837,54.99,,0.0,0.0,1,0,0,,56,5,Curveball,0,6,6,0,6,0,6,0,Infield shade,Strategic,235,0.001,-0.23,,,,0.23,,-6,6,0.007,0.993,27,26,27,26,2,3,22,4,,1,3.21,-0.29,-0.29,21.6
CU,2023-07-27,78.9,2.48,5.03,"Logue, Zach",663550,656657,,swinging_strike,,,,,7,Trey Cabbage strikes out swinging.,R,L,L,DET,LAA,S,,,2,1,2023,-0.38,0.07,-0.8,1.82,,,592669,1,8,Top,,,,,,,-6.321451780622985,-114.90684880599704,-0.4075877746488531,-2.3460783588332883,18.87222119854321,-31.661456227250262,3.47,1.59,,,,77.9,2344,5.3,717243,606992,679529,670097,656716,595879,668731,682985,663837,55.24,,,,,,,,56,4,Curveball,0,6,6,0,6,0,6,0,Infield shade,Strategic,234,0.0,-0.054,68.7,9.2,,0.054,,-6,6,0.007,0.993,27,26,27,26,2,3,22,4,,1,3.55,-0.38,-0.38,20.5
