pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-09-30,93.3,-2.52,5.3,"Ottavino, Adam",665506,493603,field_out,hit_into_play,,,,,5,Cristian Pache flies out to center fielder Rafael Ortega.,R,R,R,NYM,PHI,X,8,fly_ball,2,2,2023,-0.73,1.2,-0.08,2.46,642215,,,2,9,Top,147.17,64.99,,,,,7.994380788166297,-135.49252997723184,-4.176776953664795,-10.848064457419085,32.77365029811389,-16.643935232109197,3.45,1.6,336,92.6,27,94.1,2431,7.1,716376,553882,624413,641645,677595,596019,641796,542364,621466,53.41,0.109,0.137,0.0,1,0,0,3,69,5,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,230,0.125,-0.261,70.4,7.3,0.234,0.261,92.6,1,-1,0.875,0.125,37,24,38,25,1,3,3,2,,0,1.45,0.73,0.73,26.6
ST,2023-09-30,79.9,-2.78,5.1,"Ottavino, Adam",665506,493603,,foul,,,,,6,Cristian Pache flies out to center fielder Rafael Ortega.,R,R,R,NYM,PHI,S,,,2,1,2023,1.73,0.42,0.39,2.8,642215,,,2,9,Top,,,,,,,3.7472768223354542,-116.17768553450604,1.0588559121314058,14.486371487403694,27.171855158048356,-28.940598314744737,3.45,1.6,181,64.8,27,79.9,2598,6.9,716376,553882,624413,641645,677595,596019,641796,542364,621466,53.62,,,,,,,,69,4,Sweeper,4,3,3,4,3,4,3,4,Standard,Standard,66,0.0,-0.063,63.4,7.1,,0.063,88.0,1,-1,0.875,0.125,37,24,38,25,1,3,3,2,,0,3.23,-1.73,-1.73,21.6
ST,2023-09-30,79.0,-2.83,5.13,"Ottavino, Adam",665506,493603,,blocked_ball,,,,,14,Cristian Pache flies out to center fielder Rafael Ortega.,R,R,R,NYM,PHI,B,,,1,1,2023,1.56,-0.29,0.92,0.63,642215,,,2,9,Top,,,,,,,5.294203086578891,-114.80386799021994,-2.2586976194772648,12.272154616640083,26.677713258132865,-34.40626130484893,3.26,1.53,,,,78.6,2748,6.7,716376,553882,624413,641645,677595,596019,641796,542364,621466,53.84,,,,,,,,69,3,Sweeper,4,3,3,4,3,4,3,4,Standard,Standard,64,0.0,0.039,,,,-0.039,,1,-1,0.875,0.125,37,24,38,25,1,3,3,2,,0,4.03,-1.56,-1.56,21.8
SI,2023-09-30,93.0,-2.54,5.22,"Ottavino, Adam",665506,493603,,foul,,,,,5,Cristian Pache flies out to center fielder Rafael Ortega.,R,R,R,NYM,PHI,S,,,1,0,2023,-1.57,0.33,-0.27,2.59,642215,,,2,9,Top,,,,,,,9.398731252622916,-135.09738883402338,-1.628532823263356,-21.28014801054541,32.333400559408275,-27.964726666626717,3.45,1.6,72,74.7,81,93.9,2365,7.1,716376,553882,624413,641645,677595,596019,641796,542364,621466,53.39,,,,,,,,69,2,Sinker,4,3,3,4,3,4,3,4,Standard,Standard,227,0.0,-0.035,70.9,7.5,,0.035,88.0,1,-1,0.875,0.125,37,24,38,25,1,3,3,2,,0,2.33,1.57,1.57,23.3
ST,2023-09-30,81.0,-2.7,5.09,"Ottavino, Adam",665506,493603,,ball,,,,,14,Cristian Pache flies out to center fielder Rafael Ortega.,R,R,R,NYM,PHI,B,,,0,0,2023,1.6,0.12,1.54,1.92,642215,,,2,9,Top,,,,,,,6.529868421965699,-117.72657771905028,-0.5229970335995028,13.17251083475518,26.614046916103103,-31.202918894954134,3.28,1.53,,,,81.8,2782,7.3,716376,553882,624413,641645,677595,596019,641796,542364,621466,53.18,,,,,,,,69,1,Sweeper,4,3,3,4,3,4,3,4,Standard,Standard,69,0.0,0.028,,,,-0.028,,1,-1,0.875,0.125,37,24,38,25,1,3,3,2,,0,3.42,-1.6,-1.6,21.7
FF,2023-09-30,95.0,-2.34,5.33,"Ottavino, Adam",595909,493603,strikeout,called_strike,,,,,8,Jake Cave called out on strikes.,R,L,R,NYM,PHI,S,2,,2,2,2023,-0.72,1.34,-0.19,1.64,642215,,,1,9,Top,,,,,,,7.347178600712722,-138.10531737361134,-7.067930321228716,-10.89387596962347,30.56345461667872,-13.648027624093066,3.31,1.62,,,,96.1,2533,6.9,716376,553882,624413,641645,677595,596019,641796,542364,621466,53.55,,0.0,0.0,1,0,0,,68,5,4-Seam Fastball,4,3,3,4,3,4,3,4,Strategic,Standard,225,0.202,-0.321,,,,0.321,,1,-1,0.673,0.327,37,30,38,31,1,3,3,2,,0,1.19,0.72,-0.72,27.6
ST,2023-09-30,79.2,-2.66,5.2,"Ottavino, Adam",595909,493603,,called_strike,,,,,5,Jake Cave called out on strikes.,R,L,R,NYM,PHI,S,,,2,1,2023,1.49,-0.1,0.0,2.06,,642215,,1,9,Top,,,,,,,3.0685120840922147,-115.31783902851365,0.2097404269851486,12.541575541075495,24.010052429686088,-33.38195398503644,3.14,1.48,,,,79.7,2763,6.9,716376,553882,624413,641645,677595,596019,641796,542364,621466,53.61,,,,,,,,68,4,Sweeper,4,3,3,4,3,4,3,4,Infield shade,Standard,72,-0.103,-0.09,,,,0.09,,1,-1,0.776,0.224,37,30,38,31,1,3,3,2,,0,3.77,-1.49,1.49,25.3
CH,2023-09-30,88.4,-2.7,5.15,"Ottavino, Adam",595909,493603,,ball,,,,,11,Jake Cave called out on strikes.,R,L,R,NYM,PHI,B,,,1,1,2023,-1.15,-0.15,-1.24,3.16,,642215,,1,9,Top,,,,,,,6.069065674160838,-128.56909636454384,1.5762435002337734,-13.99362890589501,25.93185124245679,-34.42317990037894,3.2,1.5,,,,90.0,1492,7.2,716376,553882,624413,641645,677595,596019,641796,542364,621466,53.26,,,,,,,,68,3,Changeup,4,3,3,4,3,4,3,4,Strategic,Standard,240,0.0,0.052,,,,-0.052,,1,-1,0.776,0.224,37,30,38,31,1,3,3,2,,0,3.07,1.15,-1.15,21.4
FF,2023-09-30,94.8,-2.63,5.23,"Ottavino, Adam",595909,493603,,called_strike,,,,,7,Jake Cave called out on strikes.,R,L,R,NYM,PHI,S,,,1,0,2023,-0.69,1.29,-0.47,1.88,,642215,,1,9,Top,,,,,,,7.257883560548373,-137.7596911676708,-6.0162748447876435,-10.370772472125855,30.86874304820121,-14.57860727073924,3.17,1.48,,,,95.6,2563,6.8,716376,553882,624413,641645,677595,596019,641796,542364,621466,53.67,,,,,,,,68,2,4-Seam Fastball,4,3,3,4,3,4,3,4,Strategic,Standard,221,0.0,-0.049,,,,0.049,,1,-1,0.776,0.224,37,30,38,31,1,3,3,2,,0,1.25,0.69,-0.69,22.1
CH,2023-09-30,87.3,-2.71,5.18,"Ottavino, Adam",595909,493603,,ball,,,,,11,Jake Cave called out on strikes.,R,L,R,NYM,PHI,B,,,0,0,2023,-1.24,0.16,-1.29,2.5,,,642215,1,9,Top,,,,,,,6.053738511654791,-127.08766401958076,-0.629094483557056,-14.652322040051052,26.032009667831613,-30.55223420480891,3.14,1.42,,,,88.5,1531,7.0,716376,553882,624413,641645,677595,596019,641796,542364,621466,53.51,,,,,,,,68,1,Changeup,4,3,3,4,3,4,3,4,Infield shade,Standard,242,-0.055,0.036,,,,-0.036,,1,-1,0.831,0.169,37,30,38,31,1,3,3,2,,0,2.83,1.24,-1.24,22.9
