pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2023-05-19,86.7,-3.18,4.61,"Uelmen, Erich",621020,657272,field_out,hit_into_play,,,,,7,"Phillies challenged (play at 1st), call on the field was overturned: Dansby Swanson grounds out, third baseman Edmundo Sosa to first baseman Alec Bohm.",R,R,R,PHI,CHC,X,5,ground_ball,0,0,2023,-1.35,-0.16,-0.78,1.74,,663538,,2,5,Top,93.48,167.71,,,,,8.501043750085449,-125.9875814045692,-0.3392795586428355,-16.055192842082583,23.811484519515925,-34.08015008485446,3.45,1.58,12,89.7,-8,87.1,2077,6.5,718116,592663,664761,681082,624641,607208,656941,669016,592206,54.03,0.163,0.174,0.0,1,0,0,2,45,1,Changeup,1,8,8,1,8,1,8,1,Standard,Standard,256,0.003,-0.294,,,0.174,0.294,89.7,-7,7,0.019,0.981,27,29,27,29,1,3,,2,,1,3.19,1.35,1.35,18.7
FF,2023-05-19,91.3,-2.98,4.75,"Uelmen, Erich",663538,657272,double,hit_into_play,,,,,3,Nico Hoerner doubles (8) on a sharp line drive to right fielder Nick Castellanos.   Christopher Morel scores.    Nick Madrigal scores.,R,R,R,PHI,CHC,X,9,line_drive,3,1,2023,-0.51,1.06,0.54,2.9,,666624,663611,2,5,Top,186.75,84.38,,,,,10.045829476089567,-132.8630649610563,-1.1660873927339928,-7.821347730720718,22.91673954529503,-19.368601827504953,3.09,1.49,321,103.5,15,93.0,2267,6.9,718116,592663,664761,681082,624641,607208,656941,669016,592206,53.64,0.68,0.741,1.25,1,1,1,4,44,5,4-Seam Fastball,1,6,6,1,8,1,8,1,Standard,Standard,232,-0.039,0.913,,,1.065,-0.913,103.5,-5,5,0.058,0.942,27,26,27,26,1,3,,11,,1,1.63,0.51,0.51,25.0
FF,2023-05-19,91.6,-2.87,4.8,"Uelmen, Erich",663538,657272,,ball,,,,,11,Nico Hoerner doubles (8) on a sharp line drive to right fielder Nick Castellanos.   Christopher Morel scores.    Nick Madrigal scores.,R,R,R,PHI,CHC,B,,,2,1,2023,-0.76,1.03,-0.25,3.62,,666624,663611,2,5,Top,,,,,,,8.28077634616651,-133.36137834897733,0.5898862811173565,-10.701808464480932,24.84021344074787,-20.09501246646962,3.04,1.42,,,,92.5,2223,6.5,718116,592663,664761,681082,624641,607208,656941,669016,592206,53.98,,,,,,,,44,4,4-Seam Fastball,1,6,6,1,6,1,6,1,Standard,Standard,225,0.0,0.052,,,,-0.052,,-5,5,0.058,0.942,27,26,27,26,1,3,,11,,1,1.66,0.76,0.76,22.2
SL,2023-05-19,81.8,-2.91,4.72,"Uelmen, Erich",663538,657272,,blocked_ball,,,,,14,Nico Hoerner doubles (8) on a sharp line drive to right fielder Nick Castellanos.   Christopher Morel scores.    Nick Madrigal scores.,R,R,R,PHI,CHC,B,,,1,1,2023,0.77,-0.35,0.09,0.45,,666624,663611,2,5,Top,,,,,,,5.313052246744594,-119.15250037778354,-2.4471114039911006,6.425877792612251,21.245070255897797,-35.30998501097535,3.09,1.42,,,,82.5,2492,6.5,718116,592663,664761,681082,624641,607208,656941,669016,592206,53.99,,,,,,,,44,3,Slider,1,6,6,1,6,1,6,1,Standard,Standard,97,0.0,0.025,,,,-0.025,,-5,5,0.058,0.942,27,26,27,26,1,3,,11,,1,3.73,-0.77,-0.77,23.7
SI,2023-05-19,92.6,-3.06,4.8,"Uelmen, Erich",663538,657272,,ball,,,,,11,Nico Hoerner doubles (8) on a sharp line drive to right fielder Nick Castellanos.   Christopher Morel scores.    Nick Madrigal scores.,R,R,R,PHI,CHC,B,,,0,1,2023,-1.34,0.31,-2.11,2.69,,666624,663611,2,5,Top,,,,,,,5.423818462668505,-134.87976112933933,-0.2740652540200551,-17.578008779545787,28.351827086592404,-28.58780201621187,3.14,1.49,,,,93.8,2188,6.9,718116,592663,664761,681082,624641,607208,656941,669016,592206,53.61,,,,,,,,44,2,Sinker,1,6,6,1,6,1,6,1,Standard,Standard,234,0.0,0.025,,,,-0.025,,-5,5,0.058,0.942,27,26,27,26,1,3,,11,,1,2.34,1.34,1.34,23.1
FF,2023-05-19,92.9,-2.86,4.85,"Uelmen, Erich",663538,657272,,called_strike,,,,,5,Nico Hoerner doubles (8) on a sharp line drive to right fielder Nick Castellanos.   Christopher Morel scores.    Nick Madrigal scores.,R,R,R,PHI,CHC,S,,,0,0,2023,-0.97,1.01,0.17,2.55,,666624,663611,2,5,Top,,,,,,,9.982819409476283,-134.96521231386157,-2.340521797322946,-13.919059849593593,28.17793480765666,-19.52566752160797,3.04,1.44,,,,93.9,2367,6.9,718116,592663,664761,681082,624641,607208,656941,669016,592206,53.61,,,,,,,,44,1,4-Seam Fastball,1,6,6,1,6,1,6,1,Standard,Standard,227,0.0,-0.04,,,,0.04,,-5,5,0.058,0.942,27,26,27,26,1,3,,11,,1,1.63,0.97,0.97,22.5
SI,2023-05-19,92.4,-3.03,4.71,"Uelmen, Erich",663611,657272,walk,ball,,,,,11,Nick Madrigal walks.,R,R,R,PHI,CHC,B,,,3,0,2023,-1.22,0.45,-0.88,3.49,,666624,,2,5,Top,,,,,,,8.180063536437398,-134.30331375829363,1.730037143780628,-16.527433538001883,28.584941749064544,-27.27180283567289,2.81,1.26,,,,92.9,2070,6.6,718116,592663,664761,681082,624641,607208,656941,669016,592206,53.89,,0.695903,0.7,1,0,0,,43,4,Sinker,1,6,6,1,6,1,6,1,Standard,Standard,239,-0.001,0.052,,,,-0.052,,-5,5,0.059,0.941,27,26,27,26,1,2,,3,,1,2.22,1.22,1.22,18.9
SI,2023-05-19,92.4,-3.05,4.74,"Uelmen, Erich",663611,657272,,ball,,,,,11,Nick Madrigal walks.,R,R,R,PHI,CHC,B,,,2,0,2023,-1.5,0.12,-0.83,2.41,,666624,,2,5,Top,,,,,,,8.992498893473675,-134.32601449240155,-0.3403172305807592,-20.17414449400464,29.34680626313057,-30.893218305004993,2.93,1.26,,,,93.0,1916,6.7,718116,592663,664761,681082,624641,607208,656941,669016,592206,53.77,,,,,,,,43,3,Sinker,1,6,6,1,6,1,6,1,Standard,Standard,240,0.0,0.037,,,,-0.037,,-5,5,0.059,0.941,27,26,27,26,1,2,,3,,1,2.56,1.5,1.5,21.2
SL,2023-05-19,82.9,-2.94,4.79,"Uelmen, Erich",663611,657272,,ball,,,,,14,Nick Madrigal walks.,R,R,R,PHI,CHC,B,,,1,0,2023,1.24,-0.16,2.05,1.25,,666624,,2,5,Top,,,,,,,9.023591100627764,-120.47249169948438,-1.2501881581516132,10.263386021095064,23.8046695055229,-33.735756239423466,3.03,1.26,,,,83.3,2598,6.7,718116,592663,664761,681082,624641,607208,656941,669016,592206,53.81,,,,,,,,43,2,Slider,1,6,6,1,6,1,6,1,Standard,Standard,71,0.0,0.029,,,,-0.029,,-5,5,0.059,0.941,27,26,27,26,1,2,,3,,1,3.49,-1.24,-1.24,23.5
SI,2023-05-19,94.1,-2.74,4.95,"Uelmen, Erich",663611,657272,,ball,,,,,14,Nick Madrigal walks.,R,R,R,PHI,CHC,B,,,0,0,2023,-1.57,0.41,1.09,1.75,,666624,,2,5,Top,,,,,,,13.475197057319084,-136.28668461346865,-3.4560784272579843,-22.613007486369145,31.055601908820485,-26.384004950770688,3.0,1.31,,,,94.3,2059,6.7,718116,592663,664761,681082,624641,607208,656941,669016,592206,53.77,,,,,,,,43,1,Sinker,1,6,6,1,6,1,6,1,Standard,Standard,234,0.0,0.02,,,,-0.02,,-5,5,0.059,0.941,27,26,27,26,1,2,,3,,1,2.19,1.57,1.57,26.8
