pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-09-08,92.1,-2.15,4.74,"White, Brendan",462101,686839,field_out,hit_into_play,,,,,6,Elvis Andrus pops out to first baseman Spencer Torkelson in foul territory.,R,R,R,DET,CWS,X,3,popup,1,0,2023,-0.09,0.81,0.48,1.99,650391,,660162,2,8,Top,172.92,188.54,,,,,6.914822062579434,-134.16855810358126,-3.037433239369314,-2.3649108005304433,25.006101170128694,-21.85359127219936,3.1,1.39,114,67.8,66,93.3,2419,6.6,716675,668670,679529,628451,656716,595879,668731,678009,681481,53.9,0.003,0.003,0.0,1,0,0,3,57,2,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,210,0.002,-0.35,67.5,8.0,0.003,0.35,88.0,-6,6,0.007,0.993,24,34,25,35,1,3,3,2,,2,1.84,0.09,0.09,34.7
SL,2023-09-08,85.3,-2.32,4.69,"White, Brendan",462101,686839,,ball,,,,,14,Elvis Andrus pops out to first baseman Spencer Torkelson in foul territory.,R,R,R,DET,CWS,B,,,0,0,2023,0.66,0.37,1.16,1.03,650391,,660162,2,8,Top,,,,,,,6.915553040691543,-124.20239419266414,-3.1729691790189074,5.719478742663474,20.799919393293155,-27.96428941412141,3.24,1.46,,,,86.4,2654,6.6,716675,668670,679529,628451,656716,595879,668731,678009,681481,53.89,,,,,,,,57,1,Slider,0,6,6,0,6,0,6,0,Standard,Standard,64,0.0,0.042,,,,-0.042,,-6,6,0.007,0.993,24,34,25,35,1,3,3,2,,2,2.72,-0.66,-0.66,33.1
FF,2023-09-08,92.1,-2.16,4.76,"White, Brendan",683734,686839,strikeout,swinging_strike,,,,,11,Andrew Vaughn strikes out swinging.,R,R,R,DET,CWS,S,2,,0,2,2023,-0.39,0.9,-0.66,3.81,650391,,660162,1,8,Top,,,,,,,4.6708537651059885,-134.158485041565,1.409779180211018,-5.590116328682033,25.447906832941747,-21.657419306000673,3.36,1.59,,,,93.1,2358,6.5,716675,668670,679529,628451,656716,595879,668731,678009,681481,53.97,,0.0,0.0,1,0,0,,56,3,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,206,0.002,-0.246,71.7,6.2,,0.246,,-6,6,0.005,0.995,24,25,25,25,1,3,3,2,,1,1.75,0.39,0.39,34.0
FF,2023-09-08,92.6,-2.22,4.75,"White, Brendan",683734,686839,,called_strike,,,,,9,Andrew Vaughn strikes out swinging.,R,R,R,DET,CWS,S,,,0,1,2023,-0.12,0.87,0.75,1.87,650391,,660162,1,8,Top,,,,,,,7.895753136348465,-134.77498596258255,-3.5213468299103736,-3.0202671675521944,25.649460432641,-21.017126611504445,3.41,1.67,,,,93.8,2393,6.7,716675,668670,679529,628451,656716,595879,668731,678009,681481,53.78,,,,,,,,56,2,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,200,0.0,-0.065,,,,0.065,,-6,6,0.005,0.995,24,25,25,25,1,3,3,2,,1,1.76,0.12,0.12,31.0
FF,2023-09-08,92.5,-2.23,4.8,"White, Brendan",683734,686839,,foul,,,,,13,Andrew Vaughn strikes out swinging.,R,R,R,DET,CWS,S,,,0,0,2023,-0.45,0.95,-1.06,2.43,650391,,660162,1,8,Top,,,,,,,4.0086045847713825,-134.81388255205482,-2.412294933629442,-6.3096260216055065,25.02444834145043,-20.15394792333909,3.36,1.59,87,70.4,5,93.7,2328,6.6,716675,668670,679529,628451,656716,595879,668731,678009,681481,53.9,,,,,,,,56,1,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,218,0.0,-0.044,62.8,5.9,,0.044,88.0,-6,6,0.005,0.995,24,25,25,25,1,3,3,2,,1,1.67,0.45,0.45,31.9
ST,2023-09-08,81.9,-2.23,4.86,"White, Brendan",660162,686839,single,hit_into_play,,,,,8,Yoan Moncada singles on a sharp line drive to right fielder Kerry Carpenter.   Andrew Benintendi scores.    Eloy Jimenez to 3rd.,R,L,R,DET,CWS,X,9,line_drive,2,1,2023,0.92,-0.4,0.05,1.41,643217,,650391,1,8,Top,203.54,85.19,,,,,3.3608296839623515,-119.31932338727844,-0.4558815250764839,8.087628188311548,23.97302461061121,-36.11723530768918,3.34,1.48,300,107.7,18,82.0,2731,6.4,716675,668670,679529,628451,656716,595879,668731,678009,681481,54.08,0.731,0.959,0.9,1,1,0,6,55,4,Sweeper,0,5,5,0,6,0,6,0,Standard,Standard,56,-0.006,0.441,78.1,8.6,1.556,-0.441,107.7,-5,5,0.011,0.989,24,28,25,28,1,3,3,2,,1,3.8,-0.92,0.92,32.7
FF,2023-09-08,89.9,-2.45,4.7,"White, Brendan",660162,686839,,ball,,,,,11,Yoan Moncada singles on a sharp line drive to right fielder Kerry Carpenter.   Andrew Benintendi scores.    Eloy Jimenez to 3rd.,R,L,R,DET,CWS,B,,,1,1,2023,-0.34,0.8,-1.69,3.43,643217,,650391,1,8,Top,,,,,,,2.610835451347087,-131.0250327125283,1.0754161922140468,-4.440718730366824,25.272127225594797,-23.339630389178588,3.39,1.55,,,,90.4,2253,6.3,716675,668670,679529,628451,656716,595879,668731,678009,681481,54.19,,,,,,,,55,3,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,219,0.0,0.05,,,,-0.05,,-5,5,0.011,0.989,24,28,25,28,1,3,3,2,,1,1.99,0.34,-0.34,29.0
FF,2023-09-08,91.0,-2.35,4.7,"White, Brendan",660162,686839,,called_strike,,,,,1,Yoan Moncada singles on a sharp line drive to right fielder Kerry Carpenter.   Andrew Benintendi scores.    Eloy Jimenez to 3rd.,R,L,R,DET,CWS,S,,,1,0,2023,-0.2,0.88,-0.55,3.02,643217,,650391,1,8,Top,,,,,,,4.978794256247855,-132.62298501877376,-0.2753252056965022,-3.3882408692049686,25.44458644712466,-21.881060716660375,3.35,1.56,,,,91.7,2326,6.4,716675,668670,679529,628451,656716,595879,668731,678009,681481,54.11,,,,,,,,55,2,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,223,0.0,-0.05,,,,0.05,,-5,5,0.011,0.989,24,28,25,28,1,3,3,2,,1,1.84,0.2,-0.2,32.1
SL,2023-09-08,85.1,-2.4,4.68,"White, Brendan",660162,686839,,blocked_ball,,,,,14,Yoan Moncada singles on a sharp line drive to right fielder Kerry Carpenter.   Andrew Benintendi scores.    Eloy Jimenez to 3rd.,R,L,R,DET,CWS,B,,,0,0,2023,0.62,-0.17,1.0,0.71,643217,,650391,1,8,Top,,,,,,,6.732324536321071,-123.84831946601057,-2.6956947172284327,5.146091308545829,23.136000372436783,-33.63874827532387,3.33,1.51,,,,85.5,2747,6.4,716675,668670,679529,628451,656716,595879,668731,678009,681481,54.11,,,,,,,,55,1,Slider,0,5,5,0,5,0,5,0,Standard,Standard,69,0.0,0.041,,,,-0.041,,-5,5,0.011,0.989,24,28,25,28,1,3,3,2,,1,3.3,-0.62,0.62,30.1
SL,2023-09-08,85.7,-2.26,4.72,"White, Brendan",650391,686839,single,hit_into_play,,,,,14,Eloy Jimenez singles on a ground ball to right fielder Kerry Carpenter.   Tim Anderson scores.    Andrew Benintendi to 3rd.,R,R,R,DET,CWS,X,9,ground_ball,0,1,2023,1.01,-0.24,0.86,1.97,641313,643217,,1,8,Top,164.8,134.11,,,,,5.366707386968324,-124.76985517543028,0.2376352204183969,9.561618464122528,23.614647401757672,-34.93200632917472,3.41,1.63,12,97.6,-9,86.3,2751,6.5,716675,668670,679529,628451,656716,595879,668731,678009,681481,54.0,0.269,0.238,0.9,1,1,0,2,54,2,Slider,0,4,4,0,5,0,5,0,Strategic,Standard,78,-0.009,0.547,74.4,6.9,0.303,-0.547,97.6,-4,4,0.02,0.98,24,26,25,27,1,3,3,3,,1,3.32,-1.01,-1.01,33.1
