pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
EP,2024-08-08,69.2,-0.92,6.97,"Williams, Luke",606992,663897,field_out,hit_into_play,,,,,6,Eric Haase lines out to left fielder Adam Duvall.,R,R,R,ATL,MIL,X,7,line_drive,0,1,2024,-0.86,0.94,0.29,2.25,,686217,687401,2,9,Top,83.43,85.03,,,,,3.576384948636889,-100.79427272025156,-2.793656104544352,-6.403865560606072,15.392743196091054,-25.493696474299217,3.22,1.54,302,92.8,23,67.3,1601,4.6,747081,518595,621566,593160,663586,606115,594807,642201,657656,55.93,0.157,0.188,0.0,1,0,0,3,94,2,Eephus,7,16,16,7,16,7,16,7,Standard,Standard,211,0.0,-0.23,72.5,7.4,0.298,0.23,92.8,-9,9,0.0,1.0,27,31,28,32,2,5,2,1,,10,3.79,0.86,0.86,51.7
EP,2024-08-08,67.6,-1.04,6.85,"Williams, Luke",606992,663897,,called_strike,,,,,6,Eric Haase lines out to left fielder Adam Duvall.,R,R,R,ATL,MIL,S,,,0,0,2024,-0.8,1.14,0.77,2.39,,686217,687401,2,9,Top,,,,,,,4.490242876888549,-98.4215216813193,-2.297252971352566,-5.842637166262618,12.822907215965486,-24.543275074676114,3.46,1.69,,,,66.1,1700,4.6,747081,518595,621566,593160,663586,606115,594807,642201,657656,55.87,,,,,,,,94,1,Eephus,7,16,16,7,16,7,16,7,Standard,Standard,215,0.0,-0.048,,,,0.048,,-9,9,0.0,1.0,27,31,28,32,2,5,2,1,,10,3.77,0.8,0.8,51.5
EP,2024-08-08,59.8,-1.02,6.74,"Williams, Luke",687401,663897,single,hit_into_play,,,,,6,Joey Ortiz singles on a sharp line drive to right fielder Ramón Laureano. Andruw Monasterio scores. Sal Frelick to 2nd.,R,R,R,ATL,MIL,X,9,line_drive,2,2,2024,-0.6,1.48,0.73,2.39,655316,,686217,2,9,Top,201.78,98.01,,,,,3.6090707539228424,-87.14643518627318,-0.3897752078964311,-3.5366647329246255,11.104185306680488,-24.742593896425365,3.33,1.45,273,100.8,13,58.4,1468,4.7,747081,518595,621566,593160,663586,606115,594807,642201,657656,55.79,0.917,0.89,0.9,1,1,0,4,93,5,Eephus,7,15,15,7,16,7,16,7,Standard,Standard,211,0.0,0.665,70.7,7.0,1.137,-0.665,100.8,-8,8,0.0,1.0,27,25,28,26,1,5,2,1,,1,4.83,0.6,0.6,51.2
EP,2024-08-08,56.8,-1.16,6.77,"Williams, Luke",687401,663897,,ball,,,,,11,Joey Ortiz singles on a sharp line drive to right fielder Ramón Laureano. Andruw Monasterio scores. Sal Frelick to 2nd.,R,R,R,ATL,MIL,B,,,1,2,2024,-0.81,1.2,-1.33,5.12,655316,,686217,2,9,Top,,,,,,,0.7725840098876005,-82.56483202493882,4.973883964419121,-3.7963223127405663,10.495257999445718,-27.49106721946748,3.44,1.65,,,,54.7,1283,4.2,747081,518595,621566,593160,663586,606115,594807,642201,657656,56.35,,,,,,,,93,4,Eephus,7,15,15,7,15,7,15,7,Standard,Standard,222,0.0,0.045,,,,-0.045,,-8,8,0.0,1.0,27,25,28,26,1,5,2,1,,1,5.85,0.81,0.81,49.6
EP,2024-08-08,60.3,-0.94,6.86,"Williams, Luke",687401,663897,,swinging_strike,,,,,12,Joey Ortiz singles on a sharp line drive to right fielder Ramón Laureano. Andruw Monasterio scores. Sal Frelick to 2nd.,R,R,R,ATL,MIL,S,,,1,1,2024,-0.31,1.54,0.89,2.46,655316,,686217,2,9,Top,,,,,,,3.3791515531349003,-87.82345987203438,-0.7080302863027829,-2.0743600674798293,11.319572894275971,-24.27664796444625,3.33,1.45,,,,58.7,1459,4.6,747081,518595,621566,593160,663586,606115,594807,642201,657656,55.92,,,,,,,,93,3,Eephus,7,15,15,7,15,7,15,7,Standard,Standard,202,0.0,-0.078,68.0,7.3,,0.078,,-8,8,0.0,1.0,27,25,28,26,1,5,2,1,,1,4.68,0.31,0.31,51.9
EP,2024-08-08,64.7,-1.11,6.9,"Williams, Luke",687401,663897,,foul,,,,,11,Joey Ortiz singles on a sharp line drive to right fielder Ramón Laureano. Andruw Monasterio scores. Sal Frelick to 2nd.,R,R,R,ATL,MIL,S,,,1,0,2024,-0.63,1.58,-0.26,3.6,655316,,686217,2,9,Top,,,,,,,2.4021700486974265,-94.27118733426084,-0.1325573202487225,-4.141754616580684,12.792586963101826,-22.85591773586746,3.33,1.45,247,75.0,46,63.1,1584,4.5,747081,518595,621566,593160,663586,606115,594807,642201,657656,55.96,,,,,,,,93,2,Eephus,7,15,15,7,15,7,15,7,Standard,Standard,215,0.0,-0.045,63.1,6.2,,0.045,88.0,-8,8,0.0,1.0,27,25,28,26,1,5,2,1,,1,3.8,0.63,0.63,50.2
EP,2024-08-08,63.6,-1.09,6.87,"Williams, Luke",687401,663897,,ball,,,,,11,Joey Ortiz singles on a sharp line drive to right fielder Ramón Laureano. Andruw Monasterio scores. Sal Frelick to 2nd.,R,R,R,ATL,MIL,B,,,0,0,2024,-0.57,1.55,-0.75,4.01,655316,,686217,2,9,Top,,,,,,,1.4120813707811295,-92.62888230168964,0.9632506756703312,-3.5095666481580032,12.66412832064893,-23.494493963293408,3.49,1.46,,,,62.0,1550,4.6,747081,518595,621566,593160,663586,606115,594807,642201,657656,55.9,,,,,,,,93,1,Eephus,7,15,15,7,15,7,15,7,Standard,Standard,215,0.0,0.03,,,,-0.03,,-8,8,0.0,1.0,27,25,28,26,1,5,2,1,,1,4.03,0.57,0.57,49.9
EP,2024-08-08,80.4,-1.19,6.76,"Williams, Luke",641343,663897,field_out,hit_into_play,,,,,3,Jake Bauers flies out to center fielder Eli White. Andruw Monasterio to 3rd.,R,L,R,ATL,MIL,X,8,fly_ball,2,2,2024,-0.49,1.52,0.41,3.17,,655316,686217,1,9,Top,143.91,63.87,,,,,4.338621369229824,-117.05670427433544,-4.142764318473845,-5.235515340587361,19.071929483113156,-17.57809747020253,3.5,1.63,338,88.8,32,78.8,1961,4.9,747081,518595,621566,593160,663586,606115,594807,642201,657656,55.65,0.046,0.06,0.0,1,0,0,3,92,5,Eephus,7,15,15,7,15,7,15,7,Strategic,Standard,207,0.0,-0.21,64.6,6.2,0.099,0.21,88.8,-8,8,0.0,1.0,27,28,28,29,1,5,2,2,,1,1.97,0.49,-0.49,43.8
EP,2024-08-08,69.1,-1.19,6.79,"Williams, Luke",641343,663897,,swinging_strike,,,,,1,Jake Bauers flies out to center fielder Eli White. Andruw Monasterio to 3rd.,R,L,R,ATL,MIL,S,,,2,1,2024,-0.47,1.41,-0.35,3.27,,655316,686217,1,9,Top,,,,,,,2.3012316442996648,-100.76655162992,-1.3973319862400444,-3.5297887510064387,13.010299268487357,-22.390587212338435,3.5,1.63,,,,67.8,1655,4.7,747081,518595,621566,593160,663586,606115,594807,642201,657656,55.82,,,,,,,,92,4,Eephus,7,15,15,7,15,7,15,7,Strategic,Standard,207,0.0,-0.047,73.1,6.5,,0.047,,-8,8,0.0,1.0,27,28,28,29,1,5,2,2,,1,3.26,0.47,-0.47,48.3
EP,2024-08-08,69.2,-1.28,6.73,"Williams, Luke",641343,663897,,ball,,,,,13,Jake Bauers flies out to center fielder Eli White. Andruw Monasterio to 3rd.,R,L,R,ATL,MIL,B,,,1,1,2024,-0.72,1.52,-1.16,2.7,,655316,686217,1,9,Top,,,,,,,1.365585665557585,-100.93855483593757,-2.5056014493402543,-5.188805000326906,13.968778703810049,-21.525609146519372,3.67,1.76,,,,67.8,1725,4.7,747081,518595,621566,593160,663586,606115,594807,642201,657656,55.8,,,,,,,,92,3,Eephus,7,15,15,7,15,7,15,7,Strategic,Standard,213,0.0,0.042,,,,-0.042,,-8,8,0.0,1.0,27,28,28,29,1,5,2,2,,1,3.16,0.72,-0.72,47.2
EP,2024-08-08,54.5,-1.2,6.79,"Williams, Luke",641343,663897,,ball,,,,,12,Jake Bauers flies out to center fielder Eli White. Andruw Monasterio to 3rd.,R,L,R,ATL,MIL,B,,,0,1,2024,-0.62,1.52,1.59,3.82,,655316,686217,1,9,Top,,,,,,,4.811915496366809,-79.16164730688531,3.176431922288314,-3.144535154701952,8.472770644789081,-26.23250833680237,3.65,1.69,,,,53.1,1353,4.6,747081,518595,621566,593160,663586,606115,594807,642201,657656,55.9,,,,,,,,92,2,Eephus,7,15,15,7,15,7,15,7,Strategic,Standard,212,0.0,0.015,,,,-0.015,,-8,8,0.0,1.0,27,28,28,29,1,5,2,2,,1,6.08,0.62,-0.62,51.5
EP,2024-08-08,59.2,-1.16,6.81,"Williams, Luke",641343,663897,,foul,,,,,12,Jake Bauers flies out to center fielder Eli White. Andruw Monasterio to 3rd.,R,L,R,ATL,MIL,S,,,0,0,2024,-1.04,1.28,0.52,3.85,,655316,686217,1,9,Top,,,,,,,4.083953531180447,-86.08438617626798,2.328190200767855,-5.710341237345014,11.204586422858178,-26.315561483974584,3.5,1.63,210,102.8,15,58.0,1450,5.1,747081,518595,621566,593160,663586,606115,594807,642201,657656,55.44,,,,,,,,92,1,Eephus,7,15,15,7,15,7,15,7,Strategic,Standard,211,0.0,-0.039,71.3,7.2,,0.039,102.8,-8,8,0.0,1.0,27,28,28,29,1,5,2,2,,1,5.2,1.04,-1.04,50.9
EP,2024-08-08,58.8,-1.15,6.75,"Williams, Luke",686217,663897,single,hit_into_play,,,,,2,Sal Frelick singles on a fly ball to left fielder Adam Duvall. William Contreras scores. Andruw Monasterio to 2nd.,R,L,R,ATL,MIL,X,7,fly_ball,2,0,2024,-0.48,1.28,0.16,3.19,,661388,655316,1,9,Top,61.51,131.87,,,,,2.706933119173955,-85.68139057068713,1.3327245957141982,-2.6931696717708995,9.703229936780051,-26.13763371911407,3.11,1.46,212,66.9,36,57.5,1435,4.6,747081,518595,621566,593160,663586,606115,594807,642201,657656,55.9,0.766,0.755,0.9,1,1,0,4,91,3,Eephus,7,14,14,7,15,7,15,7,Strategic,Standard,212,-0.001,0.395,56.6,6.0,0.896,-0.395,88.0,-7,7,0.001,0.999,27,24,28,24,1,5,2,1,,1,5.2,0.48,-0.48,49.5
EP,2024-08-08,60.1,-1.23,6.83,"Williams, Luke",686217,663897,,ball,,,,,11,Sal Frelick singles on a fly ball to left fielder Adam Duvall. William Contreras scores. Andruw Monasterio to 2nd.,R,L,R,ATL,MIL,B,,,1,0,2024,-0.6,1.23,-0.96,4.07,,661388,655316,1,9,Top,,,,,,,1.2333694300132447,-87.5649500379356,2.357752103857216,-3.2508004518531557,10.84546658580051,-26.242078858485502,3.36,1.57,,,,58.5,1492,4.4,747081,518595,621566,593160,663586,606115,594807,642201,657656,56.07,,,,,,,,91,2,Eephus,7,14,14,7,14,7,14,7,Standard,Standard,214,0.0,0.055,,,,-0.055,,-7,7,0.001,0.999,27,24,28,24,1,5,2,1,,1,5.0,0.6,-0.6,49.1
EP,2024-08-08,69.9,-1.29,6.81,"Williams, Luke",686217,663897,,ball,,,,,11,Sal Frelick singles on a fly ball to left fielder Adam Duvall. William Contreras scores. Andruw Monasterio to 2nd.,R,L,R,ATL,MIL,B,,,0,0,2024,-0.27,1.53,-0.78,5.16,,661388,655316,1,9,Top,,,,,,,1.394631994688798,-101.91682256801212,1.7850642946522872,-2.129862402788229,15.110386984378982,-21.899126902696665,3.37,1.53,,,,68.2,1720,4.6,747081,518595,621566,593160,663586,606115,594807,642201,657656,55.93,,,,,,,,91,1,Eephus,7,14,14,7,14,7,14,7,Standard,Standard,212,0.0,0.03,,,,-0.03,,-7,7,0.001,0.999,27,24,28,24,1,5,2,1,,1,3.08,0.27,-0.27,46.4
EP,2024-08-08,55.0,-1.11,6.86,"Williams, Luke",655316,663897,single,hit_into_play,,,,,2,Andruw Monasterio singles on a ground ball to right fielder Ramón Laureano. William Contreras to 2nd.,R,R,R,ATL,MIL,X,9,ground_ball,1,2,2024,-0.66,1.31,-0.13,2.76,,,661388,1,9,Top,151.92,126.91,,,,,2.2655661797680855,-80.06274249871309,1.593031096955759,-3.138492195082684,8.751954769481774,-26.82124931541911,3.25,1.55,125,88.9,7,53.6,1351,4.5,747081,518595,621566,593160,663586,606115,594807,642201,657656,56.03,0.52,0.495,0.9,1,1,0,4,90,4,Eephus,7,14,14,7,14,7,14,7,Infield shade,Standard,215,0.0,0.475,64.5,5.7,0.609,-0.475,88.9,-7,7,0.001,0.999,27,27,28,27,1,1,2,1,,3,6.12,0.66,0.66,52.5
EP,2024-08-08,53.3,-0.83,6.93,"Williams, Luke",655316,663897,,ball,,,,,12,Andruw Monasterio singles on a ground ball to right fielder Ramón Laureano. William Contreras to 2nd.,R,R,R,ATL,MIL,B,,,0,2,2024,-0.33,1.39,2.63,3.74,,,661388,1,9,Top,,,,,,,5.290040036804675,-77.43003559208337,3.3894891804532685,-1.939026137185463,8.59296452846466,-27.12107925779228,3.44,1.62,,,,51.6,1204,4.3,747081,518595,621566,593160,663586,606115,594807,642201,657656,56.2,,,,,,,,90,3,Eephus,7,14,14,7,14,7,14,7,Infield shade,Standard,209,0.0,0.022,,,,-0.022,,-7,7,0.001,0.999,27,27,28,27,1,1,2,1,,3,6.58,0.33,0.33,57.0
EP,2024-08-08,74.4,-1.02,6.86,"Williams, Luke",655316,663897,,foul,,,,,3,Andruw Monasterio singles on a ground ball to right fielder Ramón Laureano. William Contreras to 2nd.,R,R,R,ATL,MIL,S,,,0,1,2024,-0.61,1.27,0.34,3.16,,,661388,1,9,Top,,,,,,,3.750935862807278,-108.3877537388472,-2.5992054436462912,-5.466609432017097,18.07646819514875,-21.889425695075957,3.25,1.55,285,84.1,32,72.5,1824,4.7,747081,518595,621566,593160,663586,606115,594807,642201,657656,55.84,,,,,,,,90,2,Eephus,7,14,14,7,14,7,14,7,Infield shade,Standard,208,0.0,-0.052,63.5,5.9,,0.052,88.0,-7,7,0.001,0.999,27,27,28,27,1,1,2,1,,3,2.82,0.61,0.61,52.3
