pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-28,92.7,-2.53,5.54,"Yates, Kirby",681351,489446,strikeout,called_strike,,,,,4,Logan O'Hoppe called out on strikes.,R,R,R,LAA,TEX,S,2,,0,2,2024,-1.25,1.29,-0.64,2.53,,,,2,9,Bot,,,,,,,7.531958029577916,-134.86208442304394,-4.7350444924892825,-16.92356631059983,27.426958697575447,-15.581530819886614,3.2,1.56,,,,92.5,2393,6.0,746171,608348,663993,543760,622110,669701,694671,680716,677649,54.48,,0.0,0.0,1,0,0,,87,3,4-Seam Fastball,8,9,8,9,9,8,8,9,Strategic,Standard,228,-0.044,-0.157,,,,0.157,,-1,-1,0.044,0.044,37,24,37,24,1,4,1,2,,,1.35,1.25,1.25,25.2
FS,2024-09-28,86.8,-2.46,5.28,"Yates, Kirby",681351,489446,,swinging_strike,,,,,13,Logan O'Hoppe called out on strikes.,R,R,R,LAA,TEX,S,,,0,1,2024,-1.08,0.02,-0.35,0.9,,,,2,9,Bot,,,,,,,7.250241171519247,-126.302686011533,-4.395721202041125,-12.949003167427664,22.750104370444355,-31.32907558723523,3.21,1.53,,,,87.2,1416,6.3,746171,608348,663993,543760,622110,669701,694671,680716,677649,54.2,,,,,,,,87,2,Split-Finger,8,9,8,9,9,8,8,9,Standard,Standard,261,0.0,-0.058,,,,0.058,,-1,-1,0.044,0.044,37,24,37,24,1,4,1,2,,,2.98,1.08,1.08,19.6
FF,2024-09-28,94.0,-2.54,5.34,"Yates, Kirby",681351,489446,,called_strike,,,,,9,Logan O'Hoppe called out on strikes.,R,R,R,LAA,TEX,S,,,0,0,2024,-1.32,1.03,0.46,1.52,,,,2,9,Bot,,,,,,,10.602297537465091,-136.34556025377438,-6.418061484711093,-18.745753939326057,28.966028066829388,-17.98417230209156,3.26,1.59,,,,93.3,2402,6.0,746171,608348,663993,543760,622110,669701,694671,680716,677649,54.51,,,,,,,,87,1,4-Seam Fastball,8,9,8,9,9,8,8,9,Standard,Standard,235,0.0,-0.041,,,,0.041,,-1,-1,0.044,0.044,37,24,37,24,1,4,1,2,,,1.55,1.32,1.32,23.1
FS,2024-09-28,86.4,-2.38,5.36,"Yates, Kirby",592273,489446,field_out,hit_into_play,,,,,8,"Brandon Drury grounds out sharply, shortstop Josh Smith to first baseman Nathaniel Lowe.",R,R,R,LAA,TEX,X,6,ground_ball,1,1,2024,-1.1,-0.02,0.17,1.69,,,,1,9,Bot,114.85,148.05,,,,,8.276583369668252,-125.63942789640606,-2.5565949983351315,-13.194614213420564,21.444314416560054,-32.16120118050214,3.53,1.71,25,100.7,-2,86.6,1507,6.1,746171,608348,663993,543760,622110,669701,694671,680716,677649,54.42,0.391,0.346,0.0,1,0,0,2,86,3,Split-Finger,8,9,8,9,9,8,8,9,Infield shade,Standard,259,-0.064,-0.243,71.3,7.3,0.446,0.243,100.7,-1,-1,0.108,0.108,37,31,37,32,1,4,1,1,,1,3.04,1.1,1.1,23.0
FF,2024-09-28,93.1,-2.59,5.34,"Yates, Kirby",592273,489446,,ball,,,,,13,"Brandon Drury grounds out sharply, shortstop Josh Smith to first baseman Nathaniel Lowe.",R,R,R,LAA,TEX,B,,,0,1,2024,-1.33,1.12,-1.23,1.9,,,,1,9,Bot,,,,,,,6.385330928798067,-135.47822239171148,-5.535898565362791,-17.810450058334055,28.045471636845665,-17.317242093242246,3.69,1.79,,,,92.7,2414,6.0,746171,608348,663993,543760,622110,669701,694671,680716,677649,54.55,,,,,,,,86,2,4-Seam Fastball,8,9,8,9,9,8,8,9,Infield shade,Standard,237,0.0,0.024,,,,-0.024,,-1,-1,0.108,0.108,37,31,37,32,1,4,1,1,,1,1.5,1.33,1.33,21.9
FS,2024-09-28,86.0,-2.5,5.34,"Yates, Kirby",592273,489446,,swinging_strike,,,,,14,"Brandon Drury grounds out sharply, shortstop Josh Smith to first baseman Nathaniel Lowe.",R,R,R,LAA,TEX,S,,,0,0,2024,-1.05,-0.12,0.57,1.26,,,,1,9,Bot,,,,,,,9.38901640693216,-125.02212568537117,-3.244262635097507,-12.783129770340876,22.620864420573657,-33.01457243058294,3.53,1.71,,,,86.1,1381,6.2,746171,608348,663993,543760,622110,669701,694671,680716,677649,54.31,,,,,,,,86,1,Split-Finger,8,9,8,9,9,8,8,9,Infield shade,Standard,259,0.0,-0.037,73.6,8.6,,0.037,,-1,-1,0.108,0.108,37,31,37,32,1,4,1,1,,1,3.18,1.05,1.05,21.8
FF,2024-09-28,91.8,-2.56,5.39,"Yates, Kirby",607680,489446,field_out,hit_into_play,,,,,5,Kevin Pillar flies out to right fielder Ezequiel Duran.,R,R,R,LAA,TEX,X,9,fly_ball,2,0,2024,-1.28,1.13,0.12,2.24,,,,0,9,Bot,166.5,116.72,,,,,9.497836438898256,-133.39562342063888,-4.595592996912995,-17.25714908860236,25.90211892394458,-17.792508763125998,3.3,1.57,230,73.0,39,91.6,2351,6.0,746171,608348,663993,543760,622110,669701,694671,680716,677649,54.47,0.263,0.251,0.0,1,0,0,3,85,3,4-Seam Fastball,8,9,8,9,9,8,8,9,Strategic,Standard,236,-0.086,-0.361,69.0,7.4,0.298,0.361,88.0,-1,-1,0.194,0.194,37,35,37,35,1,4,1,1,,1,1.56,1.28,1.28,21.7
FF,2024-09-28,91.3,-2.44,5.41,"Yates, Kirby",607680,489446,,ball,,,,,12,Kevin Pillar flies out to right fielder Ezequiel Duran.,R,R,R,LAA,TEX,B,,,1,0,2024,-1.01,1.24,0.14,4.0,,,,0,9,Bot,,,,,,,8.635365019006485,-132.77392598482865,-0.3605891146591944,-13.790767694606032,27.338019748925458,-17.544524826576303,3.22,1.57,,,,91.0,2287,6.1,746171,608348,663993,543760,622110,669701,694671,680716,677649,54.42,,,,,,,,85,2,4-Seam Fastball,8,9,8,9,9,8,8,9,Strategic,Standard,230,0.0,0.069,,,,-0.069,,-1,-1,0.194,0.194,37,35,37,35,1,4,1,1,,1,1.48,1.01,1.01,23.9
FF,2024-09-28,92.3,-2.62,5.38,"Yates, Kirby",607680,489446,,ball,,,,,14,Kevin Pillar flies out to right fielder Ezequiel Duran.,R,R,R,LAA,TEX,B,,,0,0,2024,-1.17,1.21,0.43,1.33,,,,0,9,Bot,,,,,,,10.19440996175086,-133.9821766811743,-7.058271419996132,-16.232957803520268,28.05197210496272,-16.196987852269416,3.23,1.61,,,,91.7,2335,6.0,746171,608348,663993,543760,622110,669701,694671,680716,677649,54.51,,,,,,,,85,1,4-Seam Fastball,8,9,8,9,9,8,8,9,Strategic,Standard,237,0.0,0.038,,,,-0.038,,-1,-1,0.194,0.194,37,35,37,35,1,4,1,1,,1,1.47,1.17,1.17,22.0
FF,2024-09-27,93.6,-2.22,5.53,"Yates, Kirby",683021,489446,field_out,hit_into_play,,,,,11,Michael Stefanic flies out to right fielder Adolis García.,R,R,R,LAA,TEX,X,9,fly_ball,0,2,2024,-0.86,1.36,-0.12,3.72,,694359,,2,9,Bot,170.24,116.11,,,,,7.274249083692205,-136.12535614191555,-1.8882161236571664,-12.33898796322465,31.12911661630442,-15.1217135074663,3.3,1.53,235,81.3,48,93.1,2075,6.1,746173,641680,663993,543760,622110,669701,694671,608671,666969,54.37,0.026,0.026,0.0,1,0,0,3,74,3,4-Seam Fastball,2,5,2,5,5,2,2,5,Standard,Standard,230,-0.016,-0.194,61.4,5.1,0.038,0.194,88.0,-3,-3,0.016,0.016,37,28,37,28,1,3,5,1,1,1,1.26,0.86,0.86,25.0
