pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
ST,2024-03-21,79.5,-1.57,5.81,"Hamel, Dom",570482,687589,double,hit_into_play,,,,,5,"Gio Urshela doubles (2) on a sharp fly ball to center fielder Harrison Bader. Gio Urshela to 3rd. Gio Urshela advances to 3rd, on a fielding error by center fielder Harrison Bader.",S,R,R,DET,NYM,X,8,fly_ball,0,1,2024,0.7,-0.08,0.0,2.49,,,,1,4,Bot,90.3,54.89,,,,,2.1423129001617793,-115.84856238155,-0.3460769717212163,5.864642735408497,22.653226036638113,-33.03637789967857,3.21,1.62,366,100.5,24,79.6,2622,6.4,747875,682626,624413,643446,683146,596019,621438,664056,516782,54.1,0.46,,1.25,,1,1,6,34,2,Sweeper,4,3,4,3,3,4,4,3,Standard,Standard,35,0.072,0.694,,,1.212,-0.694,100.5,1,1,0.67,0.67,25,32,25,33,2,1,,,,,3.69,-0.7,-0.7,
FF,2024-03-21,93.2,-1.57,5.95,"Hamel, Dom",570482,687589,,called_strike,,,,,3,"Gio Urshela doubles (2) on a sharp fly ball to center fielder Harrison Bader. Gio Urshela to 3rd. Gio Urshela advances to 3rd, on a fielding error by center fielder Harrison Bader.",S,R,R,DET,NYM,S,,,0,0,2024,-0.73,1.58,0.81,3.08,,,,1,4,Bot,,,,,,,7.722850214663671,-135.53107293830607,-5.074983162482239,-10.727152057514292,29.024861193150556,-11.760961390646454,3.21,1.62,,,,93.2,2265,6.3,747875,682626,624413,643446,683146,596019,621438,664056,516782,54.22,,,,,,,,34,1,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,214,0.0,-0.037,,,,0.037,,1,1,0.67,0.67,25,32,25,33,2,1,,,,,1.04,0.73,0.73,
ST,2024-03-21,79.9,-1.49,5.83,"Hamel, Dom",595879,687589,field_out,hit_into_play,,,,,14,"Javier Báez grounds out, first baseman Pete Alonso to pitcher Dominic Hamel.",S,R,R,DET,NYM,X,3,ground_ball,0,2,2024,1.2,-0.23,1.53,2.27,,,,0,4,Bot,148.21,165.57,,,,,4.395252877193296,-116.38305920007984,-0.6802398094573511,10.055503666323288,22.533038124686435,-34.356238948475706,3.21,1.62,26,69.4,-3,79.9,2637,6.3,747875,682626,624413,643446,683146,596019,621438,664056,516782,54.17,0.08,,0.0,,0,0,2,33,3,Sweeper,4,3,4,3,3,4,4,3,Standard,Standard,41,-0.02,-0.163,,,0.083,0.163,88.0,1,1,0.69,0.69,25,31,25,32,2,1,,,,,3.8,-1.2,-1.2,
CU,2024-03-21,73.3,-1.41,6.01,"Hamel, Dom",595879,687589,,foul,,,,,14,"Javier Báez grounds out, first baseman Pete Alonso to pitcher Dominic Hamel.",S,R,R,DET,NYM,S,,,0,1,2024,0.62,-1.46,0.47,0.76,,,,0,4,Bot,,,,,,,2.7421977120976173,-106.73233143147716,-0.668471717363339,4.1248091507614175,20.77781725120675,-43.32565118524409,3.21,1.62,5,89.6,-12,73.0,2674,6.3,747875,682626,624413,643446,683146,596019,621438,664056,516782,54.19,,,,,,,,33,2,Curveball,4,3,4,3,3,4,4,3,Standard,Standard,19,0.0,-0.054,,,,0.054,89.6,1,1,0.69,0.69,25,31,25,32,2,1,,,,,5.74,-0.62,-0.62,
FF,2024-03-21,92.9,-1.49,5.93,"Hamel, Dom",595879,687589,,called_strike,,,,,9,"Javier Báez grounds out, first baseman Pete Alonso to pitcher Dominic Hamel.",S,R,R,DET,NYM,S,,,0,0,2024,-0.87,1.61,0.58,1.64,,,,0,4,Bot,,,,,,,7.207120463492954,-134.97562253040573,-8.726088006855818,-12.194023128814258,28.03302841358152,-10.73200136093357,3.21,1.62,,,,92.9,2357,6.3,747875,682626,624413,643446,683146,596019,621438,664056,516782,54.23,,,,,,,,33,1,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,210,0.0,-0.037,,,,0.037,,1,1,0.69,0.69,25,31,25,32,2,1,,,,,1.03,0.87,0.87,
FC,2024-03-21,90.0,-1.47,5.83,"Hamel, Dom",592192,687589,field_out,hit_into_play,,,,,14,Mark Canha lines out to right fielder Starling Marte.,S,R,R,DET,NYM,X,9,line_drive,2,1,2024,0.05,0.96,0.89,2.12,,,,1,3,Bot,171.34,106.64,,,,,5.748071788024238,-130.84374602159204,-5.25721083453911,-0.7122011382370288,28.44065980669429,-20.212681984172555,3.3,1.67,256,78.5,25,89.8,2275,6.3,747875,682626,624413,643446,683146,596019,621438,664056,516782,54.2,0.531,,0.0,,0,0,4,26,4,Cutter,4,1,4,1,1,4,4,1,Standard,Standard,203,-0.008,-0.302,,,0.602,0.302,88.0,3,3,0.837,0.837,25,35,25,35,2,1,,,,,1.86,-0.05,-0.05,
FF,2024-03-21,93.5,-1.36,5.99,"Hamel, Dom",592192,687589,,ball,,,,,11,Mark Canha lines out to right fielder Starling Marte.,S,R,R,DET,NYM,B,,,1,1,2024,-0.64,1.59,-0.54,3.85,,,,1,3,Bot,,,,,,,3.52002221328211,-136.04250211098363,-3.2019558075422925,-8.690372398300864,33.908544252151096,-12.102602251509316,3.3,1.67,,,,92.8,2242,6.2,747875,682626,624413,643446,683146,596019,621438,664056,516782,54.29,,,,,,,,26,3,4-Seam Fastball,4,1,4,1,1,4,4,1,Standard,Standard,204,0.0,0.059,,,,-0.059,,3,3,0.837,0.837,25,35,25,35,2,1,,,,,1.05,0.64,0.64,
FF,2024-03-21,92.9,-1.49,5.89,"Hamel, Dom",592192,687589,,foul,,,,,6,Mark Canha lines out to right fielder Starling Marte.,S,R,R,DET,NYM,S,,,1,0,2024,-0.71,1.56,0.44,2.44,,,,1,3,Bot,,,,,,,6.493580296655915,-135.09432700382507,-6.46097412331734,-10.165674627301708,29.99130688805494,-11.785169550424628,3.3,1.67,177,79.5,70,92.8,2312,6.3,747875,682626,624413,643446,683146,596019,621438,664056,516782,54.21,,,,,,,,26,2,4-Seam Fastball,4,1,4,1,1,4,4,1,Standard,Standard,208,0.0,-0.051,,,,0.051,88.0,3,3,0.837,0.837,25,35,25,35,2,1,,,,,1.08,0.71,0.71,
FC,2024-03-21,90.6,-1.52,5.89,"Hamel, Dom",592192,687589,,ball,,,,,14,Mark Canha lines out to right fielder Starling Marte.,S,R,R,DET,NYM,B,,,0,0,2024,0.14,1.0,1.98,2.18,,,,1,3,Bot,,,,,,,8.466766449310178,-131.76393281106402,-5.522202491594769,-0.0389898001509658,25.38623136695595,-19.511779134300955,3.3,1.67,,,,91.2,2271,6.4,747875,682626,624413,643446,683146,596019,621438,664056,516782,54.05,,,,,,,,26,1,Cutter,4,1,4,1,1,4,4,1,Standard,Standard,205,0.0,0.039,,,,-0.039,,3,3,0.837,0.837,25,35,25,35,2,1,,,,,1.76,-0.14,-0.14,
FF,2024-03-21,93.2,-1.47,5.9,"Hamel, Dom",681481,687589,home_run,hit_into_play,,,,,5,Kerry Carpenter homers (2) on a fly ball to left field.,S,L,R,DET,NYM,X,,fly_ball,1,1,2024,-0.71,1.58,-0.25,2.59,,,,1,3,Bot,36.58,87.19,,,,,4.693896805847439,-135.58567033386723,-6.209813155962038,-9.826716811961036,30.578562400947344,-11.475764053874196,3.3,1.67,353,102.4,29,93.0,2276,6.3,747875,682626,624413,643446,683146,596019,621438,664056,516782,54.22,0.666,,2.0,,0,3,6,25,3,4-Seam Fastball,3,1,3,1,1,4,4,1,Infield shade,Standard,211,0.08,1.595,,,2.479,-1.595,102.4,2,2,0.757,0.757,25,26,25,27,2,1,,,,,1.05,0.71,-0.71,
FF,2024-03-21,93.4,-1.39,5.9,"Hamel, Dom",681481,687589,,called_strike,,,,,7,Kerry Carpenter homers (2) on a fly ball to left field.,S,L,R,DET,NYM,S,,,1,0,2024,-0.72,1.49,-0.46,2.11,,,,1,3,Bot,,,,,,,3.984888214385874,-135.81817253877455,-7.261641809422089,-9.737391007069096,31.313662411374303,-12.293716888623733,3.3,1.67,,,,93.3,2281,6.4,747875,682626,624413,643446,683146,596019,621438,664056,516782,54.14,,,,,,,,25,2,4-Seam Fastball,3,1,3,1,1,3,3,1,Infield shade,Standard,209,0.0,-0.051,,,,0.051,,2,2,0.757,0.757,25,26,25,27,2,1,,,,,1.13,0.72,-0.72,
FF,2024-03-21,93.4,-1.47,5.95,"Hamel, Dom",681481,687589,,ball,,,,,11,Kerry Carpenter homers (2) on a fly ball to left field.,S,L,R,DET,NYM,B,,,0,0,2024,-0.56,1.58,-0.41,3.88,,,,1,3,Bot,,,,,,,3.968599010101538,-135.9232886727888,-3.000146456984034,-7.866297258034238,32.49706935917146,-12.276721325155613,3.3,1.67,,,,93.0,2285,6.2,747875,682626,624413,643446,683146,596019,621438,664056,516782,54.26,,,,,,,,25,1,4-Seam Fastball,3,1,3,1,1,3,3,1,Infield shade,Standard,210,0.0,0.039,,,,-0.039,,2,2,0.757,0.757,25,26,25,27,2,1,,,,,1.06,0.56,-0.56,
FF,2024-03-21,93.5,-1.49,5.92,"Hamel, Dom",679529,687589,field_out,hit_into_play,,,,,8,Spencer Torkelson pops out to second baseman Jeff McNeil.,S,R,R,DET,NYM,X,4,popup,2,0,2024,-0.47,1.61,0.23,1.9,,,,0,3,Bot,179.63,143.01,,,,,5.460763946994409,-135.77523127242927,-8.047444093522206,-7.074488880705492,33.456811050656825,-10.728616080083096,3.25,1.64,186,88.2,60,92.9,2256,6.3,747875,682626,624413,643446,683146,596019,621438,664056,516782,54.17,0.023,,0.0,,0,0,3,24,3,4-Seam Fastball,3,1,3,1,1,3,3,1,Standard,Standard,209,-0.015,-0.361,,,0.042,0.361,88.2,2,2,0.772,0.772,25,24,25,25,2,1,,,,,1.04,0.47,0.47,
FF,2024-03-21,92.8,-1.54,5.87,"Hamel, Dom",679529,687589,,ball,,,,,13,Spencer Torkelson pops out to second baseman Jeff McNeil.,S,R,R,DET,NYM,B,,,1,0,2024,-0.58,1.47,-0.52,1.12,,,,0,3,Bot,,,,,,,3.875701350956597,-134.75076046304991,-9.540805375263114,-7.927443883308751,29.99986317810477,-12.349923617043704,3.25,1.64,,,,92.5,2214,6.3,747875,682626,624413,643446,683146,596019,621438,664056,516782,54.2,,,,,,,,24,2,4-Seam Fastball,3,1,3,1,1,3,3,1,Standard,Standard,211,0.0,0.069,,,,-0.069,,2,2,0.772,0.772,25,24,25,25,2,1,,,,,1.19,0.58,0.58,
FF,2024-03-21,92.9,-1.64,5.88,"Hamel, Dom",679529,687589,,ball,,,,,13,Spencer Torkelson pops out to second baseman Jeff McNeil.,S,R,R,DET,NYM,B,,,0,0,2024,-0.75,1.52,-0.22,1.09,,,,0,3,Bot,,,,,,,5.274324665437139,-134.89934263980416,-9.787304605911412,-10.271203609265475,30.245754923583437,-11.66697923884038,3.25,1.64,,,,92.8,2283,6.4,747875,682626,624413,643446,683146,596019,621438,664056,516782,54.09,,,,,,,,24,1,4-Seam Fastball,3,1,3,1,1,3,3,1,Standard,Standard,213,0.0,0.038,,,,-0.038,,2,2,0.772,0.772,25,24,25,25,2,1,,,,,1.14,0.75,0.75,
FF,2024-03-21,92.5,-1.48,5.93,"Hamel, Dom",682985,687589,home_run,hit_into_play,,,,,8,Riley Greene homers (1) on a fly ball to left center field.,S,L,R,DET,NYM,X,,fly_ball,3,0,2024,-0.64,1.64,0.11,2.08,,,,0,3,Bot,67.36,55.72,,,,,5.429936381730733,-134.40405369637872,-7.537674372178424,-8.887873514488287,29.48040932600825,-10.873583545863823,3.34,1.69,383,101.6,24,92.3,2296,6.3,747875,682626,624413,643446,683146,596019,621438,664056,516782,54.23,0.691,,2.0,,0,3,6,23,4,4-Seam Fastball,2,1,2,1,1,3,3,1,Infield shade,Standard,209,0.099,0.86,,,2.102,-0.86,101.6,1,1,0.673,0.673,25,23,25,24,2,1,,,,,1.04,0.64,-0.64,
FC,2024-03-21,89.5,-1.71,5.85,"Hamel, Dom",682985,687589,,ball,,,,,13,Riley Greene homers (1) on a fly ball to left center field.,S,L,R,DET,NYM,B,,,2,0,2024,0.17,0.89,-0.76,1.38,,,,0,3,Bot,,,,,,,1.978419113679828,-130.2484150486804,-6.919850361719567,1.5943587630593472,25.763375114849225,-20.87235270135313,3.34,1.69,,,,89.6,2298,6.2,747875,682626,624413,643446,683146,596019,621438,664056,516782,54.31,,,,,,,,23,3,Cutter,2,1,2,1,1,2,2,1,Infield shade,Standard,207,0.0,0.147,,,,-0.147,,1,1,0.673,0.673,25,23,25,24,2,1,,,,,1.95,-0.17,0.17,
