pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CU,2024-09-29,81.9,-1.53,6.0,"Marsh, Alec",542303,679525,field_out,hit_into_play,,,,,3,Marcell Ozuna flies out to right fielder Hunter Renfroe.,R,R,R,ATL,KC,X,9,fly_ball,0,0,2024,0.84,-0.75,0.58,3.08,,,645277,2,5,Bot,186.16,138.67,,,,,3.1327775055793365,-119.19431435220878,1.4211871561142704,7.422172712603558,23.11541497938129,-39.83396267458416,3.52,1.73,213,91.5,58,81.9,2521,6.3,747061,666023,493329,686681,672580,677951,669004,664728,592669,54.2,0.011,0.016,0.0,1,0,0,3,42,1,Curveball,2,4,2,4,4,2,2,4,Standard,Standard,41,-0.032,-0.271,77.0,7.1,0.021,0.271,91.5,-2,-2,0.243,0.243,26,33,26,34,3,2,11,1,,1,4.15,-0.84,-0.84,38.2
CU,2024-09-29,81.2,-1.47,5.92,"Marsh, Alec",645277,679525,force_out,hit_into_play,,,,,8,"Ozzie Albies grounds into a force out, third baseman Maikel Garcia to second baseman Michael Massey. Michael Harris II out at 2nd. Ozzie Albies to 1st.",R,R,R,ATL,KC,X,5,ground_ball,2,2,2024,0.49,-0.79,0.23,1.95,,,671739,1,5,Bot,101.87,168.19,,,,,2.8679301243844915,-118.32454432987566,-0.7960343117704446,4.06600594434641,22.53025109571156,-39.621675227253824,3.24,1.53,4,93.5,-30,81.3,2232,6.3,747061,666023,493329,686681,672580,677951,669004,664728,592669,54.22,0.074,0.067,0.0,1,0,0,2,41,7,Curveball,2,4,2,4,4,2,2,4,Standard,Standard,41,-0.039,-0.292,68.1,6.6,0.082,0.292,93.5,-2,-2,0.282,0.282,26,27,26,27,3,2,11,1,,1,4.23,-0.49,-0.49,38.9
SI,2024-09-29,93.2,-1.75,5.73,"Marsh, Alec",645277,679525,,foul,,,,,2,"Ozzie Albies grounds into a force out, third baseman Maikel Garcia to second baseman Michael Massey. Michael Harris II out at 2nd. Ozzie Albies to 1st.",R,R,R,ATL,KC,S,,,2,2,2024,-1.2,0.83,-0.01,3.06,,,671739,1,5,Bot,,,,,,,7.0923191298070245,-135.59077151665727,-2.9602676328971365,-16.326393171670244,28.22449907184975,-21.406597620697298,3.24,1.53,201,72.9,55,93.3,2355,6.2,747061,666023,493329,686681,672580,677951,669004,664728,592669,54.27,,,,,,,,41,6,Sinker,2,4,2,4,4,2,2,4,Standard,Standard,225,0.0,0.0,,,,0.0,88.0,-2,-2,0.282,0.282,26,27,26,27,3,2,11,1,,1,1.78,1.2,1.2,28.9
SI,2024-09-29,93.5,-1.67,5.73,"Marsh, Alec",645277,679525,,ball,,,,,12,"Ozzie Albies grounds into a force out, third baseman Maikel Garcia to second baseman Michael Massey. Michael Harris II out at 2nd. Ozzie Albies to 1st.",R,R,R,ATL,KC,B,,,1,2,2024,-1.4,0.37,1.63,3.7,,,671739,1,5,Bot,,,,,,,11.590155953545564,-135.780357229164,-0.3176412076344385,-19.85263253723448,28.691582324255705,-27.68614052286673,3.28,1.48,,,,93.6,2347,6.4,747061,666023,493329,686681,672580,677951,669004,664728,592669,54.12,,,,,,,,41,5,Sinker,2,4,2,4,4,2,2,4,Standard,Standard,228,0.0,0.048,,,,-0.048,,-2,-2,0.282,0.282,26,27,26,27,3,2,11,1,,1,2.24,1.4,1.4,30.7
SL,2024-09-29,86.6,-1.6,5.82,"Marsh, Alec",645277,679525,,foul,,,,,12,"Ozzie Albies grounds into a force out, third baseman Maikel Garcia to second baseman Michael Massey. Michael Harris II out at 2nd. Ozzie Albies to 1st.",R,R,R,ATL,KC,S,,,1,2,2024,0.41,-0.23,0.63,3.46,,,671739,1,5,Bot,,,,,,,4.485980856536686,-126.07683347611746,1.0227363142958863,3.4895317908317716,25.49208776050871,-35.01472863281928,3.24,1.53,265,88.8,17,86.4,2382,6.1,747061,666023,493329,686681,672580,677951,669004,664728,592669,54.35,,,,,,,,41,4,Slider,2,4,2,4,4,2,2,4,Standard,Standard,45,0.0,0.0,55.0,5.3,,0.0,88.8,-2,-2,0.282,0.282,26,27,26,27,3,2,11,1,,1,3.26,-0.41,-0.41,34.1
SI,2024-09-29,92.0,-1.74,5.75,"Marsh, Alec",645277,679525,,called_strike,,,,,3,"Ozzie Albies grounds into a force out, third baseman Maikel Garcia to second baseman Michael Massey. Michael Harris II out at 2nd. Ozzie Albies to 1st.",R,R,R,ATL,KC,S,,,1,1,2024,-1.25,1.01,0.32,2.89,,,671739,1,5,Bot,,,,,,,7.903949432286493,-133.82488558208536,-3.6151670590199223,-16.661024227548232,27.49950730733813,-19.451097238801943,3.3,1.53,,,,92.0,2323,6.2,747061,666023,493329,686681,672580,677951,669004,664728,592669,54.27,,,,,,,,41,3,Sinker,2,4,2,4,4,2,2,4,Standard,Standard,226,0.0,-0.059,,,,0.059,,-2,-2,0.282,0.282,26,27,26,27,3,2,11,1,,1,1.68,1.25,1.25,30.4
SI,2024-09-29,92.6,-1.69,5.73,"Marsh, Alec",645277,679525,,ball,,,,,12,"Ozzie Albies grounds into a force out, third baseman Maikel Garcia to second baseman Michael Massey. Michael Harris II out at 2nd. Ozzie Albies to 1st.",R,R,R,ATL,KC,B,,,0,1,2024,-1.11,0.99,1.11,2.63,,,671739,1,5,Bot,,,,,,,9.587988989350478,-134.53800045419305,-4.310905226947908,-15.537574378439396,27.539050174915907,-19.31239398281773,3.35,1.53,,,,92.8,2322,6.4,747061,666023,493329,686681,672580,677951,669004,664728,592669,54.13,,,,,,,,41,2,Sinker,2,4,2,4,4,2,2,4,Standard,Standard,230,0.0,0.029,,,,-0.029,,-2,-2,0.282,0.282,26,27,26,27,3,2,11,1,,1,1.66,1.11,1.11,31.0
SL,2024-09-29,85.4,-1.74,5.77,"Marsh, Alec",645277,679525,,called_strike,,,,,9,"Ozzie Albies grounds into a force out, third baseman Maikel Garcia to second baseman Michael Massey. Michael Harris II out at 2nd. Ozzie Albies to 1st.",R,R,R,ATL,KC,S,,,0,0,2024,0.5,-0.12,0.56,1.94,,,671739,1,5,Bot,,,,,,,4.38906001351882,-124.3675383386928,-2.4820871376651743,4.296170383680111,25.161630197779093,-33.09018294231046,3.32,1.5,,,,85.2,2579,6.1,747061,666023,493329,686681,672580,677951,669004,664728,592669,54.38,,,,,,,,41,1,Slider,2,4,2,4,4,2,2,4,Standard,Standard,43,0.0,-0.04,,,,0.04,,-2,-2,0.282,0.282,26,27,26,27,3,2,11,1,,1,3.24,-0.5,-0.5,31.2
CU,2024-09-29,82.7,-1.39,6.04,"Marsh, Alec",671739,679525,single,hit_into_play,,,,,4,Michael Harris II singles on a sharp line drive to left fielder MJ Melendez.,R,L,R,ATL,KC,X,7,line_drive,0,2,2024,0.59,-0.86,-0.28,2.37,,,,1,5,Bot,58.16,96.42,,,,,1.400384290329206,-120.54725276705904,-0.2196179912739917,5.458617905395092,23.38087613301805,-40.73326634089516,3.37,1.56,250,108.8,10,82.5,2599,6.1,747061,666023,493329,686681,672580,677951,669004,664728,592669,54.45,0.909,0.927,0.9,1,1,0,5,40,3,Curveball,2,4,2,4,4,2,2,4,Standard,Standard,46,0.036,0.515,76.9,7.4,1.201,-0.515,108.8,-2,-2,0.246,0.246,26,23,26,23,3,2,11,1,,1,4.18,-0.59,0.59,36.9
CH,2024-09-29,84.2,-1.59,5.77,"Marsh, Alec",671739,679525,,foul,,,,,8,Michael Harris II singles on a sharp line drive to left fielder MJ Melendez.,R,L,R,ATL,KC,S,,,0,1,2024,-1.09,0.6,0.19,1.88,,,,1,5,Bot,,,,,,,6.276764294715493,-122.50568528923176,-3.842932821368649,-12.202588490271577,23.53433464867077,-25.54903674255887,3.37,1.56,2,29.3,-40,84.0,1590,6.1,747061,666023,493329,686681,672580,677951,669004,664728,592669,54.4,,,,,,,,40,2,Changeup,2,4,2,4,4,2,2,4,Standard,Standard,239,0.0,-0.057,74.7,9.2,,0.057,88.0,-2,-2,0.246,0.246,26,23,26,23,3,2,11,1,,1,2.61,1.09,-1.09,30.8
